opponent,game,candidate_player,outcome,steps,error,first_player
agent_pure_lucario_v1_bc512_e4_probe,0,0,win,189,,0
agent_pure_lucario_v1_bc512_e4_probe,1,1,loss,243,,1
agent_pure_lucario_v1_bc512_e4_probe,2,0,loss,16,,0
agent_pure_lucario_v1_bc512_e4_probe,3,1,loss,226,,1
agent_pure_lucario_v1_bc512_e4_probe,4,0,loss,21,,0
agent_pure_lucario_v1_bc512_e4_probe,5,1,loss,195,,1
agent_pure_lucario_v1_bc512_e4_probe,6,0,win,127,,0
agent_pure_lucario_v1_bc512_e4_probe,7,1,win,146,,1
agent_pure_lucario_v1_bc512_e4_probe,8,0,loss,164,,0
agent_pure_lucario_v1_bc512_e4_probe,9,1,loss,243,,1
agent_pure_lucario_v1_bc512_e4_probe,10,0,loss,189,,0
agent_pure_lucario_v1_bc512_e4_probe,11,1,loss,181,,1
agent_pure_lucario_v1_bc512_e4_probe,12,0,win,102,,0
agent_pure_lucario_v1_bc512_e4_probe,13,1,loss,149,,1
agent_pure_lucario_v1_bc512_e4_probe,14,0,win,169,,0
agent_pure_lucario_v1_bc512_e4_probe,15,1,loss,212,,1
agent_pure_lucario_v1_bc512_e4_probe,16,0,win,189,,0
agent_pure_lucario_v1_bc512_e4_probe,17,1,loss,144,,1
agent_pure_lucario_v1_bc512_e4_probe,18,0,loss,197,,0
agent_pure_lucario_v1_bc512_e4_probe,19,1,win,188,,1
agent_cynthia_core_meanpool_epochmix_v1_c7b3253f_20260727,0,0,win,212,,0
agent_cynthia_core_meanpool_epochmix_v1_c7b3253f_20260727,1,1,win,159,,0
agent_cynthia_core_meanpool_epochmix_v1_c7b3253f_20260727,2,0,win,253,,0
agent_cynthia_core_meanpool_epochmix_v1_c7b3253f_20260727,3,1,win,184,,0
agent_cynthia_core_meanpool_epochmix_v1_c7b3253f_20260727,4,0,win,198,,0
agent_cynthia_core_meanpool_epochmix_v1_c7b3253f_20260727,5,1,loss,191,,0
agent_cynthia_core_meanpool_epochmix_v1_c7b3253f_20260727,6,0,loss,239,,0
agent_cynthia_core_meanpool_epochmix_v1_c7b3253f_20260727,7,1,loss,157,,0
agent_cynthia_core_meanpool_epochmix_v1_c7b3253f_20260727,8,0,win,183,,0
agent_cynthia_core_meanpool_epochmix_v1_c7b3253f_20260727,9,1,loss,212,,0
agent_cynthia_core_meanpool_epochmix_v1_c7b3253f_20260727,10,0,win,184,,0
