opponent,game,candidate_player,outcome,steps,error,first_player
agent_pure_lucario_v1_bc512_e4_probe,0,0,loss,151,,0
agent_pure_lucario_v1_bc512_e4_probe,1,1,loss,52,,1
agent_pure_lucario_v1_bc512_e4_probe,2,0,loss,98,,0
agent_pure_lucario_v1_bc512_e4_probe,3,1,win,131,,1
agent_pure_lucario_v1_bc512_e4_probe,4,0,loss,120,,0
agent_pure_lucario_v1_bc512_e4_probe,5,1,loss,135,,1
agent_pure_lucario_v1_bc512_e4_probe,6,0,loss,120,,0
agent_pure_lucario_v1_bc512_e4_probe,7,1,loss,139,,1
agent_pure_lucario_v1_bc512_e4_probe,8,0,loss,92,,0
agent_pure_lucario_v1_bc512_e4_probe,9,1,loss,135,,1
agent_pure_lucario_v1_bc512_e4_probe,10,0,loss,155,,0
agent_pure_lucario_v1_bc512_e4_probe,11,1,win,86,,1
agent_pure_lucario_v1_bc512_e4_probe,12,0,loss,177,,0
agent_pure_lucario_v1_bc512_e4_probe,13,1,loss,154,,1
agent_pure_lucario_v1_bc512_e4_probe,14,0,win,146,,0
agent_pure_lucario_v1_bc512_e4_probe,15,1,loss,74,,1
agent_pure_lucario_v1_bc512_e4_probe,16,0,loss,85,,0
agent_pure_lucario_v1_bc512_e4_probe,17,1,loss,105,,1
agent_pure_lucario_v1_bc512_e4_probe,18,0,loss,112,,0
agent_pure_lucario_v1_bc512_e4_probe,19,1,loss,125,,1
agent_cynthia_core_meanpool_epochmix_v1_c7b3253f_20260727,0,0,win,141,,0
agent_cynthia_core_meanpool_epochmix_v1_c7b3253f_20260727,1,1,loss,149,,0
agent_cynthia_core_meanpool_epochmix_v1_c7b3253f_20260727,2,0,loss,130,,0
agent_cynthia_core_meanpool_epochmix_v1_c7b3253f_20260727,3,1,loss,155,,0
agent_cynthia_core_meanpool_epochmix_v1_c7b3253f_20260727,4,0,loss,175,,0
agent_cynthia_core_meanpool_epochmix_v1_c7b3253f_20260727,5,1,win,199,,0
agent_cynthia_core_meanpool_epochmix_v1_c7b3253f_20260727,6,0,loss,112,,0
agent_cynthia_core_meanpool_epochmix_v1_c7b3253f_20260727,7,1,loss,47,,0
agent_cynthia_core_meanpool_epochmix_v1_c7b3253f_20260727,8,0,win,51,,0
agent_cynthia_core_meanpool_epochmix_v1_c7b3253f_20260727,9,1,loss,139,,0
agent_cynthia_core_meanpool_epochmix_v1_c7b3253f_20260727,10,0,loss,185,,0
agent_cynthia_core_meanpool_epochmix_v1_c7b3253f_20260727,11,1,loss,129,,0
agent_cynthia_core_meanpool_epochmix_v1_c7b3253f_20260727,12,0,loss,183,,0
agent_cynthia_core_meanpool_epochmix_v1_c7b3253f_20260727,13,1,loss,130,,0
agent_cynthia_core_meanpool_epochmix_v1_c7b3253f_20260727,14,0,loss,172,,0
agent_cynthia_core_meanpool_epochmix_v1_c7b3253f_20260727,15,1,loss,157,,0
agent_cynthia_core_meanpool_epochmix_v1_c7b3253f_20260727,16,0,loss,178,,0
agent_cynthia_core_meanpool_epochmix_v1_c7b3253f_20260727,17,1,loss,132,,0
agent_cynthia_core_meanpool_epochmix_v1_c7b3253f_20260727,18,0,win,141,,0
agent_cynthia_core_meanpool_epochmix_v1_c7b3253f_20260727,19,1,win,140,,0
agent_kangaskhan_crustle_core_meanpool_epochmix_v2_e510e4d4_20260728,0,0,loss,104,,0
agent_kangaskhan_crustle_core_meanpool_epochmix_v2_e510e4d4_20260728,1,1,loss,125,,0
agent_kangaskhan_crustle_core_meanpool_epochmix_v2_e510e4d4_20260728,2,0,loss,105,,0
agent_kangaskhan_crustle_core_meanpool_epochmix_v2_e510e4d4_20260728,3,1,loss,118,,0
agent_kangaskhan_crustle_core_meanpool_epochmix_v2_e510e4d4_20260728,4,0,loss,160,,0
agent_kangaskhan_crustle_core_meanpool_epochmix_v2_e510e4d4_20260728,5,1,loss,147,,0
agent_kangaskhan_crustle_core_meanpool_epochmix_v2_e510e4d4_20260728,6,0,loss,134,,0
agent_kangaskhan_crustle_core_meanpool_epochmix_v2_e510e4d4_20260728,7,1,loss,112,,0
agent_kangaskhan_crustle_core_meanpool_epochmix_v2_e510e4d4_20260728,8,0,loss,136,,0
agent_kangaskhan_crustle_core_meanpool_epochmix_v2_e510e4d4_20260728,9,1,loss,100,,0
agent_kangaskhan_crustle_core_meanpool_epochmix_v2_e510e4d4_20260728,10,0,loss,121,,0
agent_kangaskhan_crustle_core_meanpool_epochmix_v2_e510e4d4_20260728,11,1,loss,143,,0
agent_kangaskhan_crustle_core_meanpool_epochmix_v2_e510e4d4_20260728,12,0,loss,104,,0
agent_kangaskhan_crustle_core_meanpool_epochmix_v2_e510e4d4_20260728,13,1,loss,108,,0
agent_kangaskhan_crustle_core_meanpool_epochmix_v2_e510e4d4_20260728,14,0,loss,145,,0
agent_kangaskhan_crustle_core_meanpool_epochmix_v2_e510e4d4_20260728,15,1,loss,139,,0
agent_kangaskhan_crustle_core_meanpool_epochmix_v2_e510e4d4_20260728,16,0,loss,122,,0
agent_kangaskhan_crustle_core_meanpool_epochmix_v2_e510e4d4_20260728,17,1,loss,45,,0
agent_kangaskhan_crustle_core_meanpool_epochmix_v2_e510e4d4_20260728,18,0,loss,121,,0
agent_kangaskhan_crustle_core_meanpool_epochmix_v2_e510e4d4_20260728,19,1,loss,122,,0
agent_marnie_prize_control_v4_3121746f_20260728,0,0,win,182,,0
agent_marnie_prize_control_v4_3121746f_20260728,1,1,loss,129,,0
agent_marnie_prize_control_v4_3121746f_20260728,2,0,loss,131,,0
agent_marnie_prize_control_v4_3121746f_20260728,3,1,loss,128,,0
agent_marnie_prize_control_v4_3121746f_20260728,4,0,loss,127,,0
agent_marnie_prize_control_v4_3121746f_20260728,5,1,win,123,,0
agent_marnie_prize_control_v4_3121746f_20260728,6,0,loss,149,,0
agent_marnie_prize_control_v4_3121746f_20260728,7,1,loss,157,,0
agent_marnie_prize_control_v4_3121746f_20260728,8,0,loss,135,,0
agent_marnie_prize_control_v4_3121746f_20260728,9,1,loss,143,,0
agent_marnie_prize_control_v4_3121746f_20260728,10,0,loss,133,,0
agent_marnie_prize_control_v4_3121746f_20260728,11,1,loss,127,,0
agent_marnie_prize_control_v4_3121746f_20260728,12,0,loss,156,,0
agent_marnie_prize_control_v4_3121746f_20260728,13,1,loss,151,,0
agent_marnie_prize_control_v4_3121746f_20260728,14,0,loss,142,,0
agent_marnie_prize_control_v4_3121746f_20260728,15,1,loss,130,,0
agent_marnie_prize_control_v4_3121746f_20260728,16,0,loss,135,,0
agent_marnie_prize_control_v4_3121746f_20260728,17,1,loss,129,,0
agent_marnie_prize_control_v4_3121746f_20260728,18,0,loss,143,,0
agent_marnie_prize_control_v4_3121746f_20260728,19,1,loss,115,,0
agent_yushin_idonly_bc_v1_20260723,0,0,loss,107,,0
agent_yushin_idonly_bc_v1_20260723,1,1,win,139,,0
agent_yushin_idonly_bc_v1_20260723,2,0,loss,99,,0
agent_yushin_idonly_bc_v1_20260723,3,1,loss,131,,0
agent_yushin_idonly_bc_v1_20260723,4,0,loss,87,,0
agent_yushin_idonly_bc_v1_20260723,5,1,loss,127,,0
agent_yushin_idonly_bc_v1_20260723,6,0,loss,84,,0
agent_yushin_idonly_bc_v1_20260723,7,1,loss,160,,0
agent_yushin_idonly_bc_v1_20260723,8,0,win,104,,0
agent_yushin_idonly_bc_v1_20260723,9,1,loss,76,,0
agent_yushin_idonly_bc_v1_20260723,10,0,win,21,,0
agent_yushin_idonly_bc_v1_20260723,11,1,loss,126,,0
agent_yushin_idonly_bc_v1_20260723,12,0,loss,128,,0
agent_yushin_idonly_bc_v1_20260723,13,1,loss,164,,0
agent_yushin_idonly_bc_v1_20260723,14,0,loss,155,,0
agent_yushin_idonly_bc_v1_20260723,15,1,loss,129,,0
agent_yushin_idonly_bc_v1_20260723,16,0,loss,141,,0
agent_yushin_idonly_bc_v1_20260723,17,1,win,146,,0
agent_yushin_idonly_bc_v1_20260723,18,0,win,24,,0
agent_yushin_idonly_bc_v1_20260723,19,1,win,140,,0
dragapult_large_data_decoder_2layer,0,0,loss,148,,0
dragapult_large_data_decoder_2layer,1,1,loss,187,,0
dragapult_large_data_decoder_2layer,2,0,win,172,,0
dragapult_large_data_decoder_2layer,3,1,win,159,,0
dragapult_large_data_decoder_2layer,4,0,win,128,,0
dragapult_large_data_decoder_2layer,5,1,loss,88,,0
dragapult_large_data_decoder_2layer,6,0,win,130,,0
dragapult_large_data_decoder_2layer,7,1,win,141,,0
dragapult_large_data_decoder_2layer,8,0,loss,108,,0
dragapult_large_data_decoder_2layer,9,1,win,196,,0
dragapult_large_data_decoder_2layer,10,0,loss,146,,0
dragapult_large_data_decoder_2layer,11,1,loss,159,,0
dragapult_large_data_decoder_2layer,12,0,loss,162,,0
dragapult_large_data_decoder_2layer,13,1,win,166,,0
dragapult_large_data_decoder_2layer,14,0,loss,155,,0
dragapult_large_data_decoder_2layer,15,1,win,141,,0
dragapult_large_data_decoder_2layer,16,0,win,212,,0
dragapult_large_data_decoder_2layer,17,1,loss,143,,0
dragapult_large_data_decoder_2layer,18,0,win,171,,0
dragapult_large_data_decoder_2layer,19,1,win,149,,0
